minigame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-1_time,0.1,1,2,3,4,5,6,7,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,,,,,,,,,,,,,,,,,
2-4_time,2,4,6,8,10,12,14,15,16,17,19,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-4_type,Show,Input,Show,Input,Show,Input,Show,Show,Input,Input,Show,Input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-5_time,1,1.5,2,2.5,3.5,4,4.5,5,6,6.5,7,7.5,7.5,8,8.5,9,,,,,,,,,,,,,,,,,,,,,,,,,
2-5_type,Show,Step2,Step3,Input,Show,Step2,Step3,Input,Show,Step2,Step3,Show,Input,Step2,Step3,Input,,,,,,,,,,,,,,,,,,,,,,,,,
2-6_time,2,4,6,8,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-6_type,Show,Show,Show,Show,Show,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-7_time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-7_type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-8_time,1,2,3,4,5,6,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-8_type,Show,Show,Input,Input,Show,Show,Input,Input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-9_time,1,1.8,1.81,2.6,2.61,3.4,3.41,4.2,4.21,5,5.1,5.2,5.8,5.9,6,6.6,7.4,7.6,8.2,9,9.2,,,,,,,,,,,,,,,,,,,,
2-9_type,Spawn,Show,Spawn,Show,Spawn,Show,Spawn,Show,Spawn,Show,Spawn,Input,Show,Spawn,Input,Show,Show,Input,Show,Show,Input,,,,,,,,,,,,,,,,,,,,
2-10_time,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-10_type,PatternStart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-11_time,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-11_type,Show,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-12_time,0.5,1,1.5,2,2.1,3.7,4.2,4.5,4.7,5,5.2,5.5,6,6.1,7.5,8,8.5,9,9.1,10.7,11.2,11.5,11.7,12,12.2,12.5,13,13.1,,,,,,,,,,,,,
2-12_type,Show,Show,Show,Show,CameraDown,Cue,Cue,Input,Cue,Input,Cue,Input,Input,CameraUp,Show,Show,Show,Show,CameraDown,Cue,Cue,Input,Cue,Input,Cue,Input,Input,CameraUp,,,,,,,,,,,,,
2-13_time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,,,,,,,,,,,,
2-13_type,Show,Input,Show,Input,Show,Input,Show,Input,Show,Input,Show,Input,Show,Input,Show,Input,,,,,,,,,,,,,,,,,,,,,,,,,
2-14_time,2,4,6,8,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-14_type,Show,Show,Show,Show,Show,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-15_time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-15_type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-1_time,2,2.5,3,3.5,4,4.5,5,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-1_type,Show,Swipe,Show,,Input1,Input2,Input1,Input2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-2_time,6,7.5,9,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-2_type,Input,Input,Input,Input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-3_time,1,6,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-3_type,Show,Show,Show,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-4_time,6.5,7.5,8.5,9.5,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-4_type,Input,Input,Input,Input,Input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-5_time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-5_type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-6_time,1,2,3,3.1,3.5,3.9,5,7,9,9.1,9.5,10,10.5,10.9,12,,,,,,,,,,,,,,,,,,,,,,,,,,
3-6_type,ShowGreen,ShowYellow,ShowRed,RecordCheck,RecordCheck,RecordCheck,ShowGreen,ShowYellow,ShowRed,RecordCheck,RecordCheck,RecordCheck,RecordCheck,RecordCheck,End,,,,,,,,,,,,,,,,,,,,,,,,,,
3-7_time,0,4,5.1,5.6,6,6.4,6.9,7.5,8,12,13.1,13.6,14,14.4,14.9,15.5,,,,,,,,,,,,,,,,,,,,,,,,,
3-7_type,Show,Show,Input,Input,Input,Input,Input,End,Show,Show,Input,Input,Input,Input,Input,End,,,,,,,,,,,,,,,,,,,,,,,,,
3-8_time,2.5,6.5,10.5,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-8_type,Input,Input,Input,Input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-9_time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-9_time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-10_time,2,4,6,8,10,12,14,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-10_type,Show,Spawn,Show,Spawn,Show,Spawn,Show,Spawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-11_type,input,input,input,input,input,input,input,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-11_time,4,5,6,7,8,9,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-12_type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-12_time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-13_type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-13_time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-14_type,Show,Show,Input,Input,Move,Show,Show,Input,Input,Move,Show,Show,Show,Show,Input,Input,Input,Input,,,,,,,,,,,,,,,,,,,,,,,
3-14_time,1,2,3,4,5,6,7,8,9,10,11,11.5,12,12.5,13,13.5,14,14.5,,,,,,,,,,,,,,,,,,,,,,,
3-15_type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-15_time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
